Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Latitude,Longitude
Palau,6013,2738895,9,3677,0.0530504,119.9087554
Panama,1042631,671863221,8634,7370581,8.559559,-81.1308434
Papua New Guinea,46864,30287390,670,427064,-5.6816069,144.2489081
Paraguay,735759,508425108,19961,14490931,-23.3165935,-58.1693445
Peru,4512091,2991409888,221043,194856063,-6.8699697,-75.0458515
Philippines,4162752,2736960492,66482,44717669,12.7503486,122.7312101
Pitcairn Islands,4,1376,0,0,-25.0657719,-130.101782
Poland,6517833,4366054196,119624,89060554,52.215933,19.134422
Portugal,5592028,3006160224,26872,19892813,39.6621648,-8.1353519
Puerto Rico,1252713,565191476,5938,3835977,18.038856,-66.869684
Qatar,514524,338190274,690,588992,25.3336984,51.2295295
Republic of Korea,32131606,11929505476,35017,15058699,36.638392,127.6961188
Republic of Moldova,620717,411145254,12124,9048729,47.2879608,28.5670941
Romania,3407485,2133748677,68233,49423110,45.9852129,24.6859225
Russian Federation,22959198,13260421559,399563,269520406,64.6863136,97.7453061
Rwanda,133194,92358685,1468,1057426,-1.9646631,30.0644358
Réunion,494595,244194677,921,533935,-21.1309332,55.5265771
Saba,837,338750,2,750,17.631999999999998,-63.27327578658874
Saint Barthélemy,5507,3080173,5,3132,17.9036287,-62.81152921501989
"Saint Helena, Ascension and Tristan da Cunha",2166,596072,0,0,-37.2465,-12.4870384875
Saint Kitts and Nevis,6606,3707093,46,26560,17.250512,-62.6725973
Saint Lucia,30052,17281397,409,253954,13.8250489,-60.975036
Saint Martin,12324,7150762,46,35185,48.5683066,6.7539988
Saint Pierre and Miquelon,3426,1528997,2,725,46.8374544,-56.2120555
Saint Vincent and the Grenadines,9631,5942108,124,70498,12.90447,-61.2765569
Samoa,16764,6909655,31,12568,-13.7693895,-172.12005
San Marino,24326,12906535,125,107493,34.1215947,-118.105739
Sao Tome and Principe,6588,4471744,80,58485,0.9713095,7.02255
Saudi Arabia,841469,668546089,9646,8753849,25.6242618,42.3528328
Senegal,89003,69458900,1971,1603583,14.4750607,-14.4529612
Serbia,2543720,1508102348,18057,11892897,44.1534121,20.55144
Seychelles,50937,30001933,172,113763,-4.6574977,55.4540146
Sierra Leone,7762,6515265,125,120050,8.6400349,-11.8400269
Singapore,2499988,987243287,1841,884993,1.357107,103.8194992
Sint Eustatius,1220,555390,6,2600,17.5085293,-62.995476910131686
Sint Maarten,11051,6914019,92,68267,18.04235,-63.058383
Slovakia,1866857,1106150382,21167,15113363,48.7411522,19.4528646
Slovenia,1344517,716987554,9407,6325273,46.1199444,14.8153333
Solomon Islands,21611,9848648,153,74238,-8.7053941,159.1070693851845
Somalia,27334,20876853,1361,1047634,8.3676771,49.083416
South Africa,4072533,3061049011,102595,82654301,-28.8166236,24.991639
South Sudan,18368,14032847,138,126980,7.8699431,29.6667897
Spain,13970616,8658044109,121724,100423166,39.3260685,-4.8379791
Sri Lanka,672539,469001953,16879,11130020,7.5554942,80.7137847
Sudan,63993,50139039,5046,3748926,14.5844444,29.4917691
Suriname,82563,53280908,1406,961140,4.1413025,-56.0771187
Sweden,2712743,1774710034,24536,17908287,59.6749712,14.5208584
Switzerland,4406808,2399556731,14021,11754828,46.7985624,8.2319736
Syrian Arab Republic,57423,41528510,3163,2410743,34.6401861,39.0494106
Tajikistan,17786,17243672,125,122966,38.6281733,70.8156541
Thailand,4751563,2621258118,34328,19435478,14.8971921,100.83273
The United Kingdom,24636637,14829767085,227524,184917597,54.9426,-1.45349
Timor-Leste,23457,16022616,138,90023,-8.7443169,126.063482
Togo,39503,27086025,290,218463,8.7800265,1.0199765
Tokelau,19,1102,0,0,-9.1676396,-171.819687
Tonga,16819,6853080,12,5412,-19.9160819,-175.202642
